Title	URL	Assignees	Status	Estimated size	Real size	Sprint	Priority
Define Core Document Categories and Associated Metadata Extraction Schema	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/179	arpita739	Feature Archive	3	2	Sprint 9	
Refactor Building Entity to Use Structured Address Fields	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/156	so77nava	Feature Archive	8	8	Sprint 8	
Gather sample files of building documents	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/20	SyedAffan10	Feature Archive	2	2	Sprint 7	
Create a Building Form	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/118	bastydjamen	Feature Archive	5	5	Sprint 7	
Refactor: Enforce Usage of OpenAPI SDK for All Backend API Calls in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/119	so77nava	Feature Archive	2	2	Sprint 7	
Display JPG/PNG Files on File View Page Using Existing Viewer Component	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/120	bastydjamen	Feature Archive	3	3	Sprint 7	
Implement Backend Logging	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/65	masum-abid	Feature Archive	3	3	Sprint 7	
Adopt Feature Branch Workflow and Clean Up Old Branches	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/108	masum-abid	Feature Archive	2	2	Sprint 6	
CRUD Endpoints for Document Not Working in Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/112	kamsur	Feature Archive	3	8	Sprint 7	
Support OpenAPI Client Generation in Both Local and CI/CD Environments	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/51	kamsur	Feature Archive	8	13	Sprint 5	
Replace Default Web Service with Actual Angular Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/94	kamsur	Feature Archive	3	5	Sprint 6	
Seed Database with Sample Organizations and Users	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/117	so77nava	Feature Archive	5	5	Sprint 7	
Apache Tika Integration during Document Upload	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/99	arpita739	Feature Archive	3	5	Sprint 7	
Set Up Dockerized Apache Tika for Metadata Extraction	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/60	arpita739	Feature Archive	5	8	Sprint 5	
Connect Frontend Chat Component to LLM	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/100	SyedAffan10	Feature Archive	3	3	Sprint 6	
Add DB Organization Entity to Schema and EF Core Model	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/68	arpita739	Feature Archive	8	8	Sprint 5	
