Title	URL	Assignees	Status	Estimated size	Sprint	Priority
Bug: Document Download not working	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/235	masum-abid	Awaiting Review	2	Sprint 12	
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152	kamsur	Awaiting Review	2	Sprint 12	
Make Key Information Editable for User	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/236	masum-abid	Awaiting Review	3	Sprint 12	
Create Document-Scoped Chatbot Backend Endpoint for User Queries	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/233	arpita739	Awaiting Review	8	Sprint 12	
Deploy Larger Language Model on Production & Redirect Local Dev Requests	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/221	kamsur	Awaiting Review	8	Sprint 11	
Pre-Select Category Name in Frontend Upload Popup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/247	so77nava	Awaiting Review	2	Sprint 12	
Enable Document-Scoped Chat in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/239	bastydjamen	Awaiting Review	5	Sprint 12	
Display Key Information on File View Page	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/213	masum-abid	Feature Archive	3	Sprint 11	
Auto-Extract Key Information for a Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/214	SyedAffan10	Feature Archive	5	Sprint 11	
Auto-Detect Document Category from Uploaded Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/192	SyedAffan10	Feature Archive	3	Sprint 10	
Limit Organization Access for Users	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/212	bastydjamen	Feature Archive	3	Sprint 11	
Adjust DB Schema to Store Key Information	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/191	arpita739, kamsur, so77nava	Feature Archive	3	Sprint 11	
Show Loading State While User Waits for Upload Processing	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/222	arpita739, bastydjamen	Feature Archive	3	Sprint 11	
Populate Category Dropdown with Actual Categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/211	kamsur	Feature Archive	3	Sprint 11	
Enhance the Frontend Design	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/135	arpita739, kamsur	Feature Archive	5	Sprint 10	
Implement OCR using Tika service	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/160	arpita739	Feature Archive	8	Sprint 9	
Display Stored Documents and Buildings in the Document Explorer	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/95	bastydjamen, kamsur, masum-abid	Feature Archive	3	Sprint 7	
Enable Building and Category Change from Document View	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/178	bastydjamen, kamsur	Feature Archive	5	Sprint 9	
Create GET Endpoint for document categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/193	kamsur	Feature Archive	3	Sprint 10	
Bug: Inject correct API_URL in Frontend Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/162	kamsur	Feature Archive	8	Sprint 9	
Implement Session-Based Authentication for Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/159	bastydjamen	Feature Archive	5	Sprint 9	
Auto-Detect Building from Uploaded Document Content	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/157	SyedAffan10	Feature Archive	8	Sprint 8	
Implement User Authentication in Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/101	masum-abid	Feature Archive	5	Sprint 7	
Document Upload Popup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/154	arpita739, kamsur	Feature Archive	5	Sprint 8	
Define Core Document Categories and Associated Metadata Extraction Schema	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/179	arpita739	Feature Archive	3	Sprint 9	
Refactor Building Entity to Use Structured Address Fields	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/156	so77nava	Feature Archive	8	Sprint 8	
Gather sample files of building documents	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/20	SyedAffan10	Feature Archive	2	Sprint 7	
Create a Building Form	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/118	bastydjamen	Feature Archive	5	Sprint 7	
Refactor: Enforce Usage of OpenAPI SDK for All Backend API Calls in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/119	so77nava	Feature Archive	2	Sprint 7	
Display JPG/PNG Files on File View Page Using Existing Viewer Component	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/120	bastydjamen	Feature Archive	3	Sprint 7	
Implement Backend Logging	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/65	masum-abid	Feature Archive	3	Sprint 7	
Adopt Feature Branch Workflow and Clean Up Old Branches	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/108	masum-abid	Feature Archive	2	Sprint 6	
